,entity_name_digi,entity_name,value,cor_value,is_equal,is_substring,sequence_matcher,levenshtein_dist,category,pdf_name,word_len,levenshtein_dist_perc,ocr_mistake,ner_mistake
1,bic,bic,KOMBCZPP,KOMBCZPP,1,1,1.0,0,code,1971787,8,0.0,False,False
2,currency,currency,CZK,Kč,0,0,0.4,3,misc,1971787,3,1.0,True,False
3,due_date,date_due,2020-06-12,2020-06-12,1,1,1.0,0,date,1971787,10,0.0,False,False
4,issue_date,date_issue,2020-04-28,2020-04-28,1,1,1.0,0,date,1971787,10,0.0,False,False
5,taxable_supply_date,date_uzp,2020-04-28,2020-04-28,1,1,1.0,0,date,1971787,10,0.0,False,False
6,description,description,Fakturujeme Vám:,Fakturujeme Vám:,1,1,1.0,0,text,1971787,16,0.0,False,False
7,iban,iban,CZ2101000000357092610237,CZ2101000000357092610237,1,1,1.0,0,code,1971787,24,0.0,False,False
8,invoice_id,invoice_id,2201100,2201100,1,1,1.0,0,code,1971787,7,0.0,False,False
9,recipient_address,recipient_address,Třebešov 1 516 01 Rychnov nad Kněžnou 1,516 01 Rychnov nad Kněžnou 1,0,1,0.835820895522388,11,text,1971787,39,0.28205128205128205,True,False
10,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1971787,10,0.0,False,False
11,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1971787,8,0.0,False,False
12,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1971787,11,0.0,False,False
13,sender_address,sender_address,Jiřího z Poděbrad 162 Borohrádek 517 24,Jiřího z Poděbrad 162,0,1,0.7,18,text,1971787,39,0.46153846153846156,True,False
14,sender_tax_id,sender_dic,CZ26436761,CZ26436761,1,1,1.0,0,code,1971787,10,0.0,False,False
15,sender_register_id,sender_ic,26436761,26436761,1,1,1.0,0,code,1971787,8,0.0,False,False
16,sender_name,sender_name,LAGA Borohrádek s.r.o.,LAGA Borohrádek s.r.o.,1,1,1.0,0,text,1971787,22,0.0,False,False
17,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1971787,2,0.0,False,False
18,total_base,total_amount_base,24210.20,,0,1,0.0,8,amount,1971787,8,1.0,False,True
19,total_due,total_amount_due,29294.00,29294.00,1,1,1.0,0,amount,1971787,8,0.0,False,False
20,total_incl_tax,total_amount_incl_tax,29294.34,,0,1,0.0,8,amount,1971787,8,1.0,False,True
21,total_rounding,total_amount_rounding,-0.34,-0.34,1,1,1.0,0,amount,1971787,5,0.0,False,False
22,total_tax,total_amount_tax,5084.14,,0,1,0.0,7,amount,1971787,7,1.0,False,True
23,var_sym,var_sym,2201100,2201100,1,1,1.0,0,code,1971787,7,0.0,False,False
0,bank_account,bank_account,1387708509/2700,1387708509/2700,1,1,1.0,0,code,1971788,15,0.0,False,False
1,bic,bic,BACXCZPP,BACXCZPP,1,1,1.0,0,code,1971788,8,0.0,False,False
2,currency,currency,CZK,[CZK,0,1,0.8571428571428571,1,misc,1971788,3,0.3333333333333333,True,False
3,due_date,date_due,2020-05-13,2020-05-13,1,1,1.0,0,date,1971788,10,0.0,False,False
4,issue_date,date_issue,2020-04-29,2020-04-29,1,1,1.0,0,date,1971788,10,0.0,False,False
5,taxable_supply_date,date_uzp,2020-04-28,2020-04-28,1,1,1.0,0,date,1971788,10,0.0,False,False
6,iban,iban,CZ1427000000001387708509,CZ1427000000001387708509,1,1,1.0,0,code,1971788,24,0.0,False,False
7,invoice_id,invoice_id,2020093079,2020093079,1,1,1.0,0,code,1971788,10,0.0,False,False
8,invoice_id,invoice_id,2020093079,2020093079,1,1,1.0,0,code,1971788,10,0.0,False,False
9,order_id,order_id,200259/031,200259/031,1,1,1.0,0,code,1971788,10,0.0,False,False
10,recipient_address,recipient_address,Trebešov 1 51601 Trebešov Česká republika,Trebešov 1,0,1,0.39215686274509803,31,text,1971788,41,0.7560975609756098,True,False
11,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1971788,10,0.0,False,False
12,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1971788,8,0.0,False,False
13,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1971788,11,0.0,False,False
14,recipient_vat_id,recipient_vat,CZ25947672,CZ25947672,1,1,1.0,0,code,1971788,10,0.0,False,False
15,sender_address,sender_address,"Textilní 3454/3a, 40001 Ústí nad Labem 1","Textilní 3454/3a, 40001 Ústí nad Labem 1",1,1,1.0,0,text,1971788,40,0.0,False,False
16,sender_address,sender_address,"Textilní 3454/3a, 40001 Ústí nad Labem 1","Textilní 3454/3a, 40001 Ústí nad Labem 1",1,1,1.0,0,text,1971788,40,0.0,False,False
17,sender_tax_id,sender_dic,CZ49101498,CZ49101498,1,1,1.0,0,code,1971788,10,0.0,False,False
18,sender_tax_id,sender_dic,CZ49101498,CZ49101498,1,1,1.0,0,code,1971788,10,0.0,False,False
19,sender_register_id,sender_ic,49101498,49101498,1,1,1.0,0,code,1971788,8,0.0,False,False
20,sender_register_id,sender_ic,49101498,49101498,1,1,1.0,0,code,1971788,8,0.0,False,False
21,sender_name,sender_name,IGEFA-ROIN s.r.o.,"IGEFA-ROIN s.r.o.,",0,1,0.9714285714285714,1,text,1971788,17,0.058823529411764705,True,False
22,sender_name,sender_name,IGEFA-ROIN s.r.o.,"IGEFA-ROIN s.r.o.,",0,1,0.9714285714285714,1,text,1971788,17,0.058823529411764705,True,False
23,sender_vat_id,sender_vat,CZ49101498,CZ49101498,1,1,1.0,0,code,1971788,10,0.0,False,False
24,sender_vat_id,sender_vat,CZ49101498,CZ49101498,1,1,1.0,0,code,1971788,10,0.0,False,False
25,total_base,total_amount_base,34228.00,34228.00,1,1,1.0,0,amount,1971788,8,0.0,False,False
26,total_due,total_amount_due,41415.88,41415.88,1,1,1.0,0,amount,1971788,8,0.0,False,False
27,total_incl_tax,total_amount_incl_tax,41415.88,41415.88,1,1,1.0,0,amount,1971788,8,0.0,False,False
28,total_tax,total_amount_tax,7187.88,7187.88,1,1,1.0,0,amount,1971788,7,0.0,False,False
29,var_sym,var_sym,2020093079,2020093079,1,1,1.0,0,code,1971788,10,0.0,False,False
0,bank_account,bank_account,4318972/0800,4318972/0800,1,1,1.0,0,code,1971896,12,0.0,False,False
1,currency,currency,CZK,Kč,0,0,0.4,3,misc,1971896,3,1.0,True,False
2,due_date,date_due,2020-05-28,2020-05-28,1,1,1.0,0,date,1971896,10,0.0,False,False
3,issue_date,date_issue,2020-04-28,2020-04-28,1,1,1.0,0,date,1971896,10,0.0,False,False
4,taxable_supply_date,date_uzp,2020-04-28,2020-04-28,1,1,1.0,0,date,1971896,10,0.0,False,False
5,description,description,Fréza Obla-ALU 8x20x6,Fréza Obla-ALU 8x20x6,1,1,1.0,0,text,1971896,21,0.0,False,False
6,invoice_id,invoice_id,12002306,12002306,1,1,1.0,0,code,1971896,8,0.0,False,False
7,invoice_id,invoice_id,12002306,12002306,1,1,1.0,0,code,1971896,8,0.0,False,False
8,order_id,order_id,28/04/2020 - Jiří Vrba,28/04/2020-JiříVrba,0,0,0.926829268292683,3,code,1971896,22,0.13636363636363635,True,False
9,recipient_address,recipient_address,Třebešov 1 516 01 Třebešov,516 01 Třebešov,0,1,0.7317073170731707,11,text,1971896,26,0.4230769230769231,True,False
10,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1971896,10,0.0,False,False
11,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1971896,8,0.0,False,False
12,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1971896,11,0.0,False,False
13,sender_address,sender_address,Hradecká 569 533 52 Pardubice - Polabiny,533 52 Pardubice - Polabiny,0,1,0.8059701492537313,13,text,1971896,40,0.325,True,False
14,sender_tax_id,sender_dic,CZ45536503,CZ45536503,1,1,1.0,0,code,1971896,10,0.0,False,False
15,sender_register_id,sender_ic,45536503,45535503,0,0,0.875,1,code,1971896,8,0.125,True,False
16,sender_name,sender_name,OPTIMA Precise s.r.o.,OPTIMA Precise s.r.o.,1,1,1.0,0,text,1971896,21,0.0,False,False
17,tax_detail_base,tax_detail_base,1722.50,1722.50,1,1,1.0,0,amount,1971896,7,0.0,False,False
18,tax_detail_tax,tax_detail_tax,361.72,361.72,1,1,1.0,0,amount,1971896,6,0.0,False,False
19,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1971896,2,0.0,False,False
20,total_base,total_amount_base,1722.50,1722.50,1,1,1.0,0,amount,1971896,7,0.0,False,False
21,total_due,total_amount_due,2084.22,2084.22,1,1,1.0,0,amount,1971896,7,0.0,False,False
22,total_incl_tax,total_amount_incl_tax,2084.22,2084.22,1,1,1.0,0,amount,1971896,7,0.0,False,False
23,total_rounding,total_amount_rounding,0.00,0.00,1,1,1.0,0,amount,1971896,4,0.0,False,False
24,total_tax,total_amount_tax,361.72,361.72,1,1,1.0,0,amount,1971896,6,0.0,False,False
25,var_sym,var_sym,12002306,12002306,1,1,1.0,0,code,1971896,8,0.0,False,False
0,bank_account,bank_account,64307319/0800,64307319/0800,1,1,1.0,0,code,1972005,13,0.0,False,False
1,bank_account,bank_account,1756342283/0800,1756342283/0800,1,1,1.0,0,code,1972005,15,0.0,False,False
2,bic,bic,GIBACZPX,GIBACZPX,1,1,1.0,0,code,1972005,8,0.0,False,False
3,bic,bic,GIBACZPX,GIBACZPX,1,1,1.0,0,code,1972005,8,0.0,False,False
4,currency,currency,CZK,CZK,1,1,1.0,0,misc,1972005,3,0.0,False,False
5,due_date,date_due,2020-04-29,2020-04-29,1,1,1.0,0,date,1972005,10,0.0,False,False
6,issue_date,date_issue,2020-04-15,2020-04-15,1,1,1.0,0,date,1972005,10,0.0,False,False
7,taxable_supply_date,date_uzp,2020-03-31,2020-03-31,1,1,1.0,0,date,1972005,10,0.0,False,False
8,iban,iban,CZ2308000000000064307319,CZ2308000000000064307319,1,1,1.0,0,code,1972005,24,0.0,False,False
9,iban,iban,CZ8008000000001756342283,CZ8008000000001756342283,1,1,1.0,0,code,1972005,24,0.0,False,False
10,invoice_id,invoice_id,100190051,100190051,1,1,1.0,0,code,1972005,9,0.0,False,False
11,recipient_address,recipient_address,Olbrachtova 1980/5 140 00 Praha 4,Olbrachtova 1980/5,0,1,0.7058823529411765,15,text,1972005,33,0.45454545454545453,True,False
12,recipient_tax_id,recipient_dic,CZ49354850,CZ49354850,1,1,1.0,0,code,1972005,10,0.0,False,False
13,recipient_register_id,recipient_ic,49354850,49354850,1,1,1.0,0,code,1972005,8,0.0,False,False
14,recipient_name,recipient_name,GT Accounting & Payroll s.r.o.,GT Accounting & Payroll s.r.o.,1,1,1.0,0,text,1972005,30,0.0,False,False
15,sender_address,sender_address,Klimentská 1207/10 ; 110 00; Praha 1,Klimentská 1207/10 ; 110 00; Praha 1,1,1,1.0,0,text,1972005,36,0.0,False,False
16,sender_tax_id,sender_dic,CZ62915070,CZ62915070,1,1,1.0,0,code,1972005,10,0.0,False,False
17,sender_register_id,sender_ic,62915070,62915070,1,1,1.0,0,code,1972005,8,0.0,False,False
18,sender_name,sender_name,"Fučík & partneři, s.r.o.",Fučík & partneři; s.I.0.,0,0,0.875,3,text,1972005,24,0.125,True,False
19,total_base,total_amount_base,311123.00,311123.00,1,1,1.0,0,amount,1972005,9,0.0,False,False
20,total_due,total_amount_due,376458.83,,0,1,0.0,9,amount,1972005,9,1.0,False,True
21,total_tax,total_amount_tax,65335.83,65335.83,1,1,1.0,0,amount,1972005,8,0.0,False,False
0,bank_account,bank_account,64307319/0800,64307319/0800,1,1,1.0,0,code,1972006,13,0.0,False,False
1,bank_account,bank_account,1756342283/0800,1756342283/0800,1,1,1.0,0,code,1972006,15,0.0,False,False
2,bic,bic,GIBACZPX,GIBACZPX,1,1,1.0,0,code,1972006,8,0.0,False,False
3,bic,bic,GIBACZPX,GIBACZPX,1,1,1.0,0,code,1972006,8,0.0,False,False
4,currency,currency,CZK,CZK,1,1,1.0,0,misc,1972006,3,0.0,False,False
5,due_date,date_due,2020-04-29,2020-04-29,1,1,1.0,0,date,1972006,10,0.0,False,False
6,issue_date,date_issue,2020-04-15,2020-04-15,1,1,1.0,0,date,1972006,10,0.0,False,False
7,taxable_supply_date,date_uzp,2020-03-31,2020-03-31,1,1,1.0,0,date,1972006,10,0.0,False,False
8,description,description,"Vážení, za naše služby Vám fakturujeme dle dále uvedené specifikace. Prosíme o její zaplacení nejpozději do data splatnosti, a to na níže uvedený bankovní účet.",,0,1,0.0,160,text,1972006,160,1.0,False,True
9,iban,iban,CZ2308000000000064307319,CZ2308000000000064307319,1,1,1.0,0,code,1972006,24,0.0,False,False
10,iban,iban,CZ8008000000001756342283,CZ8008000000001756342283,1,1,1.0,0,code,1972006,24,0.0,False,False
11,invoice_id,invoice_id,100190052,100190052,1,1,1.0,0,code,1972006,9,0.0,False,False
12,recipient_address,recipient_address,Olbrachtova 1980/5 140 00 Praha 4,Olbrachtova 1980/5,0,1,0.7058823529411765,15,text,1972006,33,0.45454545454545453,True,False
13,recipient_tax_id,recipient_dic,CZ49354850,CZ49354850,1,1,1.0,0,code,1972006,10,0.0,False,False
14,recipient_register_id,recipient_ic,49354850,,0,1,0.0,8,code,1972006,8,1.0,False,True
15,recipient_name,recipient_name,GT Accounting & Payroll s.r.o.,GT Accounting & Payroll s.r.o.,1,1,1.0,0,text,1972006,30,0.0,False,False
16,sender_address,sender_address,Klimentská 1207/10; 110 00; Praha 1,,0,1,0.0,35,text,1972006,35,1.0,False,True
17,sender_tax_id,sender_dic,CZ62915070,CZ62915070,1,1,1.0,0,code,1972006,10,0.0,False,False
18,sender_register_id,sender_ic,62915070,62915070,1,1,1.0,0,code,1972006,8,0.0,False,False
19,sender_name,sender_name,"Fučík & partneři, s.r.o.","Fučík & partneři, s.r.o.",1,1,1.0,0,text,1972006,24,0.0,False,False
20,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1972006,2,0.0,False,False
21,total_base,total_amount_base,456405.50,,0,1,0.0,9,amount,1972006,9,1.0,False,True
22,total_due,total_amount_due,552250.66,,0,1,0.0,9,amount,1972006,9,1.0,False,True
23,total_tax,total_amount_tax,95845.16,,0,1,0.0,8,amount,1972006,8,1.0,False,True
0,bank_account,bank_account,2201186736/2010,2201186736/2010,1,1,1.0,0,code,1975099,15,0.0,False,False
1,currency,currency,CZK,Kč,0,0,0.4,3,misc,1975099,3,1.0,True,False
2,due_date,date_due,2020-05-24,2020-05-24,1,1,1.0,0,date,1975099,10,0.0,False,False
3,issue_date,date_issue,2020-04-24,2020-04-24,1,1,1.0,0,date,1975099,10,0.0,False,False
4,taxable_supply_date,date_uzp,2020-04-24,2020-04-24,1,1,1.0,0,date,1975099,10,0.0,False,False
5,description,description,Fakturujeme Vám zboží dle Vaší objednávky:,Fakturujeme Vám zboží dle Vaší objednávky:,1,1,1.0,0,text,1975099,42,0.0,False,False
6,invoice_id,invoice_id,137/20,137/20,1,1,1.0,0,code,1975099,6,0.0,False,False
7,recipient_address,recipient_address,divize Autocentrum Lipovka 142 516 13 Rychnov nad Kněžnou,516 13 Rychnov nad Kněžnou,0,1,0.6265060240963856,31,text,1975099,57,0.543859649122807,True,False
8,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1975099,10,0.0,False,False
9,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1975099,8,0.0,False,False
10,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1975099,11,0.0,False,False
11,sender_address,sender_address,Polní 1138 572 01 Polička,572 01 Polička,0,1,0.717948717948718,11,text,1975099,25,0.44,True,False
12,sender_tax_id,sender_dic,CZ7206053118,CZ7206053118,1,1,1.0,0,code,1975099,12,0.0,False,False
13,sender_register_id,sender_ic,73639346,73639346,1,1,1.0,0,code,1975099,8,0.0,False,False
14,sender_name,sender_name,Ing. Lukáš Machek,Lukáš Machek,0,1,0.8275862068965517,5,text,1975099,17,0.29411764705882354,True,False
15,tax_detail_base,tax_detail_base,824.00,,0,1,0.0,6,amount,1975099,6,1.0,False,True
16,tax_detail_tax,tax_detail_tax,173.04,173.04,1,1,1.0,0,amount,1975099,6,0.0,False,False
17,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1975099,2,0.0,False,False
18,total_base,total_amount_base,824.00,824.00,1,1,1.0,0,amount,1975099,6,0.0,False,False
19,total_due,total_amount_due,997.04,992.04,0,0,0.8333333333333334,1,amount,1975099,6,0.16666666666666666,True,False
20,total_incl_tax,total_amount_incl_tax,997.04,991.04,0,0,0.8333333333333334,1,amount,1975099,6,0.16666666666666666,True,False
21,total_tax,total_amount_tax,173.04,173.04,1,1,1.0,0,amount,1975099,6,0.0,False,False
22,var_sym,var_sym,13720,13720,1,1,1.0,0,code,1975099,5,0.0,False,False
0,bank_account,bank_account,288096805/0300,288096805/0300,1,1,1.0,0,code,1975136,14,0.0,False,False
1,bic,bic,CEKOCZPP,CEKOCZPP,1,1,1.0,0,code,1975136,8,0.0,False,False
2,currency,currency,CZK,,0,1,0.0,3,misc,1975136,3,1.0,False,True
3,due_date,date_due,2020-06-08,708.06.2020,0,0,0.38095238095238093,8,date,1975136,10,0.8,True,False
4,issue_date,date_issue,2020-04-29,2020-04-29,1,1,1.0,0,date,1975136,10,0.0,False,False
5,taxable_supply_date,date_uzp,2020-04-28,2020-04-28,1,1,1.0,0,date,1975136,10,0.0,False,False
6,description,description,Fakturujeme Vám zboží dle Vaší objednávky:,Fakturujeme Vám zboží dle Vaší objednávky:,1,1,1.0,0,text,1975136,42,0.0,False,False
7,iban,iban,CZ3103000000000288096805,CZ3103000000000288096805,1,1,1.0,0,code,1975136,24,0.0,False,False
8,invoice_id,invoice_id,20FV03266,20FVO3266,0,0,0.8888888888888888,1,code,1975136,9,0.1111111111111111,True,False
9,invoice_id,invoice_id,20FV03266,20FVO3266,0,0,0.8888888888888888,1,code,1975136,9,0.1111111111111111,True,False
10,recipient_address,recipient_address,Třebešov 1 516 01 Rychnov nad Kněžnou,516 01 Rychnov nad Kněžnou,0,1,0.8253968253968254,11,text,1975136,37,0.2972972972972973,True,False
11,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1975136,10,0.0,False,False
12,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1975136,8,0.0,False,False
13,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1975136,11,0.0,False,False
14,sender_address,sender_address,Stará 205 789 61 Bludov,789 61 Bludov,0,1,0.7222222222222222,10,text,1975136,23,0.43478260869565216,True,False
15,sender_tax_id,sender_dic,CZ7204215799,CZ7204215799,1,1,1.0,0,code,1975136,12,0.0,False,False
16,sender_register_id,sender_ic,69204705,69204705,1,1,1.0,0,code,1975136,8,0.0,False,False
17,sender_name,sender_name,Radek Sadil,Radek Sadil,1,1,1.0,0,text,1975136,11,0.0,False,False
18,sender_name,sender_name,Radek Sadil,Radek Sadil,1,1,1.0,0,text,1975136,11,0.0,False,False
19,tax_detail_base,tax_detail_base,-0.18,,0,1,0.0,5,amount,1975136,5,1.0,False,True
20,tax_detail_base,tax_detail_base,10211.75,10211.75,1,1,1.0,0,amount,1975136,8,0.0,False,False
21,tax_detail_tax,tax_detail_tax,2144.43,2144.43,1,1,1.0,0,amount,1975136,7,0.0,False,False
22,tax_rate,tax_rate,0,,0,1,0.0,1,misc,1975136,1,1.0,False,True
23,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1975136,2,0.0,False,False
24,total_base,total_amount_base,10211.75,10211.75,1,1,1.0,0,amount,1975136,8,0.0,False,False
25,total_due,total_amount_due,12356.00,12356.00,1,1,1.0,0,amount,1975136,8,0.0,False,False
26,total_incl_tax,total_amount_incl_tax,12356.18,12356.18,1,1,1.0,0,amount,1975136,8,0.0,False,False
27,total_rounding,total_amount_rounding,-0.18,0.18,0,1,0.8888888888888888,1,amount,1975136,5,0.2,True,False
28,total_tax,total_amount_tax,2144.43,2144.43,1,1,1.0,0,amount,1975136,7,0.0,False,False
29,var_sym,var_sym,2003266,2003266,1,1,1.0,0,code,1975136,7,0.0,False,False
0,bank_account,bank_account,251536424/0300,251536424/0300,1,1,1.0,0,code,1975148,14,0.0,False,False
1,currency,currency,CZK,Kč,0,0,0.4,3,misc,1975148,3,1.0,True,False
2,due_date,date_due,2020-04-05,2020-04-05,1,1,1.0,0,date,1975148,10,0.0,False,False
3,issue_date,date_issue,2020-03-06,2020-03-06,1,1,1.0,0,date,1975148,10,0.0,False,False
4,taxable_supply_date,date_uzp,2020-03-03,2020-03-03,1,1,1.0,0,date,1975148,10,0.0,False,False
5,description,description,Fakturujeme Vám zboží,Fakturujeme Vám zboží,1,1,1.0,0,text,1975148,21,0.0,False,False
6,invoice_id,invoice_id,200904235,200904235,1,1,1.0,0,code,1975148,9,0.0,False,False
7,invoice_id,invoice_id,200904235,200904235,1,1,1.0,0,code,1975148,9,0.0,False,False
8,order_id,order_id,"2,2,2020","2,2,2020",1,1,1.0,0,code,1975148,8,0.0,False,False
9,recipient_address,recipient_address,Třebešov 1 516 01 Třebešov,516 01 Třebešov,0,1,0.7317073170731707,11,text,1975148,26,0.4230769230769231,True,False
10,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1975148,10,0.0,False,False
11,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1975148,8,0.0,False,False
12,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1975148,11,0.0,False,False
13,sender_address,sender_address,Chválkovice 580 779 00 Olomouc,779 00 Olomouc,0,1,0.6363636363636364,16,text,1975148,30,0.5333333333333333,True,False
14,sender_tax_id,sender_dic,CZ26810093,CZ26810093,1,1,1.0,0,code,1975148,10,0.0,False,False
15,sender_register_id,sender_ic,26810093,26810093,1,1,1.0,0,code,1975148,8,0.0,False,False
16,sender_name,sender_name,Bartoň a Partner s.r.o.,Bartoň a Partner s.r.o.,1,1,1.0,0,text,1975148,23,0.0,False,False
17,sender_name,sender_name,Bartoň a Partner s.r.o.,Bartoň a Partner s.r.o.,1,1,1.0,0,text,1975148,23,0.0,False,False
18,total_base,total_amount_base,3232.04,3232.04,1,1,1.0,0,amount,1975148,7,0.0,False,False
19,total_due,total_amount_due,3910.77,3910.77,1,1,1.0,0,amount,1975148,7,0.0,False,False
20,total_incl_tax,total_amount_incl_tax,3910.77,3910.77,1,1,1.0,0,amount,1975148,7,0.0,False,False
21,total_tax,total_amount_tax,678.73,678.73,1,1,1.0,0,amount,1975148,6,0.0,False,False
22,var_sym,var_sym,200904235,200904235,1,1,1.0,0,code,1975148,9,0.0,False,False
0,bank_account,bank_account,2002490102/2600,2002490102/2600,1,1,1.0,0,code,1975221,15,0.0,False,False
1,bank_account,bank_account,2002490401/2600,2002490401/2600,1,1,1.0,0,code,1975221,15,0.0,False,False
2,bank_account,bank_account,2002490807/2600,2002490807/2600,1,1,1.0,0,code,1975221,15,0.0,False,False
3,bic,bic,CITICZPX,CITICZPX,1,1,1.0,0,code,1975221,8,0.0,False,False
4,currency,currency,EUR,EUR,1,1,1.0,0,misc,1975221,3,0.0,False,False
5,due_date,date_due,2020-07-28,2020-07-28,1,1,1.0,0,date,1975221,10,0.0,False,False
6,issue_date,date_issue,2020-04-29,2020-04-29,1,1,1.0,0,date,1975221,10,0.0,False,False
7,description,description,"3M 982C Fíbrový Pa kotouč Cubitron TM || slotted THERMOFORMED 180 mm x 22 mm, P 80+ Země odeslání: Polsko",3M 982C Fíbrový Pa kotouč Cubitron' 1 TM slotted,0,0,0.5882352941176471,62,text,1975221,105,0.5904761904761905,True,False
8,exchange_rate,exchange_rate,"2,72250X1OCZK","2,72250X1OCZK",1,1,1.0,0,misc,1975221,13,0.0,False,False
9,iban,iban,CZ3726000000002002490401,CZ3726000000002002490401,1,1,1.0,0,code,1975221,24,0.0,False,False
10,iban,iban,CZ3626000000002002490807,CZ3626000000002002490807,1,1,1.0,0,code,1975221,24,0.0,False,False
11,invoice_id,invoice_id,9202754538,9202754538,1,1,1.0,0,code,1975221,10,0.0,False,False
12,order_id,order_id,4010231735,4010231735,1,1,1.0,0,code,1975221,10,0.0,False,False
13,recipient_address,recipient_address,Trebesov 1 516 01 Trebesov,"Trebesov 1,516 01 Trebesov",0,0,0.9615384615384616,1,text,1975221,26,0.038461538461538464,True,False
14,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1975221,10,0.0,False,False
15,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1975221,11,0.0,False,False
16,sender_address,sender_address,V Parku 2343/24 148 00 Praha 4 Česká Republika,148 00 Praha 4,0,1,0.4666666666666667,32,text,1975221,46,0.6956521739130435,True,False
17,sender_address,sender_address,V Parku 2343/24 14800 Praha 4 Česká Republika,V Parku 2343/24 14800 Praha 4 Česká Republika,1,1,1.0,0,text,1975221,45,0.0,False,False
18,sender_tax_id,sender_dic,CZ41195698,CZ41195698,1,1,1.0,0,code,1975221,10,0.0,False,False
19,sender_tax_id,sender_dic,CZ41195698,CZ41195698,1,1,1.0,0,code,1975221,10,0.0,False,False
20,sender_register_id,sender_ic,41195698,41195698,1,1,1.0,0,code,1975221,8,0.0,False,False
21,sender_name,sender_name,"3M Česko, spol. s r.o",3M Česko; spol. s r.o,0,0,0.9523809523809523,1,text,1975221,21,0.047619047619047616,True,False
22,sender_name,sender_name,"3M Česko, spol. sr.o.","3M Česko, spol. s.r.o.",0,0,0.9767441860465116,1,text,1975221,21,0.047619047619047616,True,False
23,tax_detail_base,tax_detail_base,197.00,197.00,1,1,1.0,0,amount,1975221,6,0.0,False,False
24,tax_detail_tax,tax_detail_tax,41.37,41.37,1,1,1.0,0,amount,1975221,5,0.0,False,False
25,tax_rate,tax_rate,0,,0,1,0.0,1,misc,1975221,1,1.0,False,True
26,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1975221,2,0.0,False,False
27,total_base,total_amount_base,197.00,197.00,1,1,1.0,0,amount,1975221,6,0.0,False,False
28,total_due,total_amount_due,238.37,238.37,1,1,1.0,0,amount,1975221,6,0.0,False,False
29,total_incl_tax,total_amount_incl_tax,238.37,238.37,1,1,1.0,0,amount,1975221,6,0.0,False,False
30,total_tax,total_amount_tax,41.37,41.37,1,1,1.0,0,amount,1975221,5,0.0,False,False
31,var_sym,var_sym,9202754538,9202754538,1,1,1.0,0,code,1975221,10,0.0,False,False
0,bank_account,bank_account,111263671/0300,1112636710300111263671/0300,0,1,0.6829268292682927,13,code,1976416,14,0.9285714285714286,True,False
1,bank_account,bank_account,111263671/0300,1112636710300111263671/0300,0,1,0.6829268292682927,13,code,1976416,14,0.9285714285714286,True,False
2,bic,bic,CEKOCZPP,CEKOCZPP,1,1,1.0,0,code,1976416,8,0.0,False,False
3,currency,currency,CZK,Kč,0,0,0.4,3,misc,1976416,3,1.0,True,False
4,due_date,date_due,2020-05-13,2020-05-13,1,1,1.0,0,date,1976416,10,0.0,False,False
5,issue_date,date_issue,2020-04-29,2020-04-29,1,1,1.0,0,date,1976416,10,0.0,False,False
6,description,description,Helios Orange - školení,Helios Orange -školení,0,0,0.9777777777777777,1,text,1976416,23,0.043478260869565216,True,False
7,iban,iban,CZ3103000000000111263671,CZ3103000000000111263671,1,1,1.0,0,code,1976416,24,0.0,False,False
8,invoice_id,invoice_id,12200600,12200600,1,1,1.0,0,code,1976416,8,0.0,False,False
9,recipient_address,recipient_address,Klimentská 1207/10 11000 Praha 1,11000 Praha 1,0,1,0.5777777777777777,19,text,1976416,32,0.59375,True,False
